"state","city","datePosted","nanny_jobsPosted"
"CA","anaheim",2020-06-28,1
"CA","anaheim",2020-06-29,1
"CA","anaheim",2020-06-30,3
"CA","anaheim",2020-07-03,2
"CA","anaheim",2020-07-04,1
"CA","anaheim",2020-07-05,2
"CA","anaheim",2020-07-06,3
"CA","anaheim",2020-07-09,4
"CA","anaheim",2020-07-10,5
"CA","anaheim",2020-07-11,2
"CA","anaheim",2020-07-12,1
"CA","anaheim",2020-07-14,2
"CA","anaheim",2020-07-15,3
"CA","anaheim",2020-07-16,7
"CA","anaheim",2020-07-17,2
"CA","anaheim",2020-07-18,9
"CA","anaheim",2020-07-19,3
"CA","anaheim",2020-07-21,2
"CA","anaheim",2020-07-22,1
"CA","anaheim",2020-07-26,3
"CA","anaheim",2020-07-27,2
"CA","anaheim",2020-08-01,2
"CA","anaheim",2020-08-02,3
"CA","anaheim",2020-08-03,4
"CA","anaheim",2020-08-04,63
"CA","anaheim",2020-08-05,6
"CA","anaheim",2020-08-06,4
"CA","anaheim",2020-08-07,4
"CA","anaheim",2020-08-08,8
"CA","anaheim",2020-08-09,5
"CA","anaheim",2020-08-10,6
"CA","anaheim",2020-08-11,6
"CA","anaheim",2020-08-12,3
"CA","anaheim",2020-08-13,5
"CA","anaheim",2020-08-14,2
"CA","anaheim",2020-08-15,1
"CA","anaheim",2020-08-16,3
"CA","anaheim",2020-08-17,2
"CA","bakersfield",2020-06-29,2
"CA","bakersfield",2020-08-04,6
"CA","bakersfield",2020-08-07,2
"CA","bakersfield",2020-08-13,1
"CA","bakersfield",2020-08-15,1
"CA","fresno",2020-06-27,1
"CA","fresno",2020-06-28,1
"CA","fresno",2020-07-14,2
"CA","fresno",2020-08-04,6
"CA","fresno",2020-08-07,2
"CA","fresno",2020-08-13,1
"CA","fresno",2020-08-15,1
"CA","long+beach",2020-06-22,1
"CA","long+beach",2020-06-23,1
"CA","long+beach",2020-06-25,1
"CA","long+beach",2020-06-28,1
"CA","long+beach",2020-06-29,1
"CA","long+beach",2020-06-30,3
"CA","long+beach",2020-07-03,2
"CA","long+beach",2020-07-05,1
"CA","long+beach",2020-07-06,2
"CA","long+beach",2020-07-08,1
"CA","long+beach",2020-07-09,2
"CA","long+beach",2020-07-10,3
"CA","long+beach",2020-07-11,1
"CA","long+beach",2020-07-12,4
"CA","long+beach",2020-07-14,1
"CA","long+beach",2020-07-15,7
"CA","long+beach",2020-07-16,5
"CA","long+beach",2020-07-17,2
"CA","long+beach",2020-07-18,8
"CA","long+beach",2020-07-19,3
"CA","long+beach",2020-07-21,2
"CA","long+beach",2020-07-22,3
"CA","long+beach",2020-07-27,5
"CA","long+beach",2020-07-28,2
"CA","long+beach",2020-07-30,3
"CA","long+beach",2020-07-31,1
"CA","long+beach",2020-08-01,2
"CA","long+beach",2020-08-02,2
"CA","long+beach",2020-08-03,3
"CA","long+beach",2020-08-04,43
"CA","long+beach",2020-08-05,5
"CA","long+beach",2020-08-06,11
"CA","long+beach",2020-08-07,4
"CA","long+beach",2020-08-08,8
"CA","long+beach",2020-08-10,5
"CA","long+beach",2020-08-11,7
"CA","long+beach",2020-08-12,2
"CA","long+beach",2020-08-13,8
"CA","long+beach",2020-08-14,2
"CA","long+beach",2020-08-15,1
"CA","long+beach",2020-08-16,4
"CA","los+angeles",2020-06-22,1
"CA","los+angeles",2020-06-23,2
