"state","city","datePosted","security_jobsPosted"
"AL","hoover",2020-07-15,6
"AL","hoover",2020-07-16,10
"AL","hoover",2020-07-17,3
"AL","hoover",2020-07-19,1
"AL","hoover",2020-07-21,11
"AL","hoover",2020-07-22,11
"AL","hoover",2020-07-23,4
"AL","hoover",2020-07-24,1
"AL","hoover",2020-07-25,2
"AL","hoover",2020-07-28,3
"AL","hoover",2020-07-29,10
"AL","hoover",2020-07-30,10
"AL","hoover",2020-07-31,1
"AL","hoover",2020-08-01,7
"AL","hoover",2020-08-03,1
"AL","hoover",2020-08-05,2
"AL","hoover",2020-08-06,5
"AL","hoover",2020-08-07,2
"AL","hoover",2020-08-08,5
"AL","hoover",2020-08-10,2
"AL","hoover",2020-08-14,3
"AL","hoover",2020-08-15,1
"AL","hoover",2020-08-16,1
"AL","hoover",2020-08-17,1
"AL","huntsville",2020-06-24,1
"AL","huntsville",2020-06-25,1
"AL","huntsville",2020-06-29,2
"AL","huntsville",2020-06-30,3
"AL","huntsville",2020-07-01,1
"AL","huntsville",2020-07-02,8
"AL","huntsville",2020-07-03,2
"AL","huntsville",2020-07-06,1
"AL","huntsville",2020-07-07,5
"AL","huntsville",2020-07-08,7
"AL","huntsville",2020-07-09,6
"AL","huntsville",2020-07-10,6
"AL","huntsville",2020-07-11,1
"AL","huntsville",2020-07-13,7
"AL","huntsville",2020-07-14,10
"AL","huntsville",2020-07-15,4
"AL","huntsville",2020-07-16,2
"AL","huntsville",2020-07-18,1
"AL","huntsville",2020-07-19,5
"AL","huntsville",2020-07-21,16
"AL","huntsville",2020-07-22,7
"AL","huntsville",2020-07-23,7
"AL","huntsville",2020-07-24,5
"AL","huntsville",2020-07-25,1
"AL","huntsville",2020-07-27,1
"AL","huntsville",2020-07-28,8
"AL","huntsville",2020-07-29,5
"AL","huntsville",2020-07-30,3
"AL","huntsville",2020-07-31,10
"AL","huntsville",2020-08-01,14
"AL","huntsville",2020-08-02,3
"AL","huntsville",2020-08-03,3
"AL","huntsville",2020-08-04,3
"AL","huntsville",2020-08-06,10
"AL","huntsville",2020-08-07,3
"AL","huntsville",2020-08-08,2
"AL","huntsville",2020-08-10,1
"AL","huntsville",2020-08-12,3
"AL","huntsville",2020-08-13,1
"AL","huntsville",2020-08-16,4
"AL","huntsville",2020-08-17,3
"AL","madison",2020-06-24,1
"AL","madison",2020-06-29,1
"AL","madison",2020-06-30,2
"AL","madison",2020-07-01,2
"AL","madison",2020-07-02,4
"AL","madison",2020-07-03,1
"AL","madison",2020-07-07,5
"AL","madison",2020-07-08,4
"AL","madison",2020-07-09,6
"AL","madison",2020-07-10,2
"AL","madison",2020-07-11,1
"AL","madison",2020-07-13,7
"AL","madison",2020-07-14,7
"AL","madison",2020-07-15,5
"AL","madison",2020-07-16,2
"AL","madison",2020-07-18,1
"AL","madison",2020-07-19,4
