"state","topCity","population","stateAbbreviations"
"texas","Corpus Christi",325406,"TX"
"texas","Plano",288539,"TX"
"texas","Laredo",264703,"TX"
"utah","Salt Lake City",213367,"UT"
"utah","West Valley City",135715,"UT"
"utah","Provo",118592,"UT"
"utah","West Jordan",117426,"UT"
"utah","Orem",99045,"UT"
"utah","Sandy",96943,"UT"
"utah","St. George",92828,"UT"
"utah","Ogden",88061,"UT"
"utah","Layton",79293,"UT"
"utah","South Jordan",79013,"UT"
"vermont","Burlington",43021,"VT"
"vermont","South Burlington",20100,"VT"
"vermont","Rutland",15087,"VT"
"vermont","Essex Junction",11597,"VT"
"vermont","Bennington",8836,"VT"
"vermont","Barre",8521,"VT"
"vermont","Winooski",7537,"VT"
"vermont","Montpelier",7356,"VT"
"vermont","Middlebury",6855,"VT"
"vermont","Brattleboro",6771,"VT"
"virginia","Virginia Beach",447841,"VA"
"virginia","Chesapeake",248106,"VA"
"virginia","Norfolk",242234,"VA"
"virginia","Richmond",232055,"VA"
"virginia","Arlington",231803,"VA"
"virginia","Newport News",177064,"VA"
"virginia","Alexandria",165748,"VA"
"virginia","Hamn",132999,"VA"
"virginia","Roanoke",99648,"VA"
"virginia","Portsmouth",93830,"VA"
"washington","Seattle",783137,"WA"
"washington","Spokane",223266,"WA"
"washington","Tacoma",222603,"WA"
"washington","Vancouver",186516,"WA"
"washington","Bellevue",154647,"WA"
"washington","Kent",131730,"WA"
"washington","Everett",113836,"WA"
"washington","Spokane Valley",103701,"WA"
"washington","Renton",103091,"WA"
"washington","Federal Way",97316,"WA"
"west-virginia","Charleston",45703,"WV"
"west-virginia","Huntington",44416,"WV"
"west-virginia","Morgantown",30983,"WV"
"west-virginia","Parkersburg",29123,"WV"
"west-virginia","Wheeling",25941,"WV"
"west-virginia","Fairmont",18349,"WV"
"west-virginia","Weirton",18059,"WV"
"west-virginia","Martinsburg",17431,"WV"
"west-virginia","Beckley",15547,"WV"
"west-virginia","Clarksburg",14990,"WV"
"wisconsin","Milwaukee",585589,"WI"
"wisconsin","Madison",264030,"WI"
"wisconsin","Green Bay",105413,"WI"
"wisconsin","Kenosha",101124,"WI"
"wisconsin","Racine",77536,"WI"
"wisconsin","Appleton",74832,"WI"
"wisconsin","Waukesha",72811,"WI"
"wisconsin","Eau Claire",69506,"WI"
"wisconsin","Oshkosh",66831,"WI"
"wisconsin","Janesville",65149,"WI"
"wyoming","Cheyenne",64165,"WY"
"wyoming","Casper",55293,"WY"
"wyoming","Laramie",33295,"WY"
"wyoming","Gillette",28357,"WY"
"wyoming","Rock Springs",22272,"WY"
"wyoming","Sheridan",17931,"WY"
"wyoming","Green River",11608,"WY"
"wyoming","Evanston",11412,"WY"
"wyoming","Riverton",10798,"WY"
"wyoming","Jackson",10427,"WY"
