"state","city","datePosted","warehouse_jobsPosted"
"AK","tanaina",2020-07-14,2
"AK","tanaina",2020-07-15,2
"AK","tanaina",2020-07-16,1
"AK","tanaina",2020-07-17,7
"AK","tanaina",2020-07-18,6
"AK","tanaina",2020-07-19,3
"AK","tanaina",2020-07-20,2
"AK","tanaina",2020-07-21,5
"AK","tanaina",2020-07-22,7
"AK","tanaina",2020-07-23,2
"AK","tanaina",2020-07-24,6
"AK","tanaina",2020-07-27,1
"AK","tanaina",2020-07-28,7
"AK","tanaina",2020-07-29,8
"AK","tanaina",2020-07-30,10
"AK","tanaina",2020-07-31,19
"AK","tanaina",2020-08-01,13
"AK","tanaina",2020-08-04,4
"AK","tanaina",2020-08-05,3
"AK","tanaina",2020-08-06,7
"AK","tanaina",2020-08-07,4
"AK","tanaina",2020-08-08,2
"AK","tanaina",2020-08-10,2
"AK","tanaina",2020-08-11,3
"AK","tanaina",2020-08-12,1
"AK","tanaina",2020-08-13,3
"AK","tanaina",2020-08-14,3
"AK","tanaina",2020-08-15,3
"AK","wasilla",2020-06-29,1
"AK","wasilla",2020-07-01,3
"AK","wasilla",2020-07-02,1
"AK","wasilla",2020-07-06,4
"AK","wasilla",2020-07-07,1
"AK","wasilla",2020-07-08,1
"AK","wasilla",2020-07-09,3
"AK","wasilla",2020-07-10,1
"AK","wasilla",2020-07-11,5
"AK","wasilla",2020-07-13,1
"AK","wasilla",2020-07-15,3
"AK","wasilla",2020-07-16,2
"AK","wasilla",2020-07-17,7
"AK","wasilla",2020-07-18,7
"AK","wasilla",2020-07-19,2
"AK","wasilla",2020-07-20,2
"AK","wasilla",2020-07-21,5
"AK","wasilla",2020-07-22,8
"AK","wasilla",2020-07-23,1
"AK","wasilla",2020-07-24,6
"AK","wasilla",2020-07-28,5
"AK","wasilla",2020-07-29,4
"AK","wasilla",2020-07-30,8
"AK","wasilla",2020-07-31,15
"AK","wasilla",2020-08-01,13
"AK","wasilla",2020-08-04,1
"AK","wasilla",2020-08-05,5
"AK","wasilla",2020-08-06,7
"AK","wasilla",2020-08-07,4
"AK","wasilla",2020-08-08,2
"AK","wasilla",2020-08-10,2
"AK","wasilla",2020-08-11,2
"AK","wasilla",2020-08-12,2
"AK","wasilla",2020-08-13,2
"AK","wasilla",2020-08-14,4
"AK","wasilla",2020-08-15,3
"AL","auburn",2020-06-23,1
"AL","auburn",2020-06-24,2
"AL","auburn",2020-06-27,1
"AL","auburn",2020-06-28,2
"AL","auburn",2020-06-30,1
"AL","auburn",2020-07-01,3
"AL","auburn",2020-07-02,6
"AL","auburn",2020-07-03,3
"AL","auburn",2020-07-06,1
"AL","auburn",2020-07-07,3
"AL","auburn",2020-07-08,5
"AL","auburn",2020-07-09,1
"AL","auburn",2020-07-10,1
"AL","auburn",2020-07-11,2
"AL","auburn",2020-07-13,1
"AL","auburn",2020-07-14,1
"AL","auburn",2020-07-15,4
"AL","auburn",2020-07-16,7
"AL","auburn",2020-07-17,7
"AL","auburn",2020-07-18,5
"AL","auburn",2020-07-20,5
"AL","auburn",2020-07-21,3
"AL","auburn",2020-07-22,8
"AL","auburn",2020-07-23,10
"AL","auburn",2020-07-24,3
"AL","auburn",2020-07-25,3
"AL","auburn",2020-07-26,7
"AL","auburn",2020-07-27,5
"AL","auburn",2020-07-28,8
"AL","auburn",2020-07-29,4
"AL","auburn",2020-07-30,4
"AL","auburn",2020-07-31,6
"AL","auburn",2020-08-01,4
"AL","auburn",2020-08-02,2
"AL","auburn",2020-08-04,2
"AL","auburn",2020-08-05,2
"AL","auburn",2020-08-06,4
"AL","auburn",2020-08-07,8
"AL","auburn",2020-08-08,4
"AL","auburn",2020-08-10,2
"AL","auburn",2020-08-11,5
"AL","auburn",2020-08-13,1
"AL","auburn",2020-08-14,2
"AL","auburn",2020-08-15,2
"AL","auburn",2020-08-17,1
"AL","birmingham",2020-06-23,1
"AL","birmingham",2020-06-25,1
"AL","birmingham",2020-06-26,1
"AL","birmingham",2020-06-30,2
"AL","birmingham",2020-07-04,1
"AL","birmingham",2020-07-06,1
"AL","birmingham",2020-07-10,2
"AL","birmingham",2020-07-13,6
"AL","birmingham",2020-07-14,5
"AL","birmingham",2020-07-15,3
"AL","birmingham",2020-07-16,7
"AL","birmingham",2020-07-17,10
"AL","birmingham",2020-07-18,8
"AL","birmingham",2020-07-20,11
"AL","birmingham",2020-07-21,5
"AL","birmingham",2020-07-22,15
"AL","birmingham",2020-07-23,11
"AL","birmingham",2020-07-24,9
"AL","birmingham",2020-07-25,1
"AL","birmingham",2020-07-27,7
"AL","birmingham",2020-07-28,6
"AL","birmingham",2020-07-29,5
"AL","birmingham",2020-07-30,14
"AL","birmingham",2020-07-31,2
"AL","birmingham",2020-08-01,5
"AL","birmingham",2020-08-03,9
"AL","birmingham",2020-08-04,5
"AL","birmingham",2020-08-05,7
"AL","birmingham",2020-08-06,3
"AL","birmingham",2020-08-07,7
"AL","birmingham",2020-08-08,6
"AL","birmingham",2020-08-09,1
"AL","birmingham",2020-08-10,3
"AL","birmingham",2020-08-12,3
"AL","birmingham",2020-08-13,4
"AL","birmingham",2020-08-14,2
"AL","birmingham",2020-08-15,1
"AL","birmingham",2020-08-16,3
"AL","decatur",2020-06-23,1
"AL","decatur",2020-06-24,1
"AL","decatur",2020-06-29,4
"AL","decatur",2020-07-01,2
"AL","decatur",2020-07-02,1
"AL","decatur",2020-07-04,1
"AL","decatur",2020-07-07,2
"AL","decatur",2020-07-08,5
"AL","decatur",2020-07-09,4
"AL","decatur",2020-07-10,2
"AL","decatur",2020-07-11,2
"AL","decatur",2020-07-12,2
"AL","decatur",2020-07-13,1
"AL","decatur",2020-07-14,2
"AL","decatur",2020-07-15,8
"AL","decatur",2020-07-16,6
"AL","decatur",2020-07-17,6
"AL","decatur",2020-07-18,6
"AL","decatur",2020-07-20,10
"AL","decatur",2020-07-21,3
"AL","decatur",2020-07-22,7
"AL","decatur",2020-07-23,4
"AL","decatur",2020-07-24,7
"AL","decatur",2020-07-25,6
"AL","decatur",2020-07-26,3
"AL","decatur",2020-07-27,7
"AL","decatur",2020-07-28,4
"AL","decatur",2020-07-29,10
"AL","decatur",2020-07-30,11
"AL","decatur",2020-07-31,11
"AL","decatur",2020-08-01,3
"AL","decatur",2020-08-03,1
"AL","decatur",2020-08-04,4
"AL","decatur",2020-08-05,3
"AL","decatur",2020-08-06,2
"AL","decatur",2020-08-07,4
"AL","decatur",2020-08-08,2
"AL","decatur",2020-08-09,1
"AL","decatur",2020-08-10,2
"AL","decatur",2020-08-11,7
"AL","decatur",2020-08-14,3
"AL","decatur",2020-08-15,5
"AL","decatur",2020-08-17,4
"AL","dothan",2020-06-23,2
"AL","dothan",2020-06-24,2
"AL","dothan",2020-06-26,1
"AL","dothan",2020-06-27,1
"AL","dothan",2020-06-29,1
"AL","dothan",2020-06-30,2
