"state","city","datePosted","personalAssistant_jobsPosted"
"AZ","gilbert",2020-08-05,2
"AZ","gilbert",2020-08-06,3
"AZ","gilbert",2020-08-07,3
"AZ","gilbert",2020-08-08,2
"AZ","gilbert",2020-08-10,1
"AZ","gilbert",2020-08-11,2
"AZ","gilbert",2020-08-13,1
"AZ","gilbert",2020-08-14,3
"AZ","gilbert",2020-08-15,1
"AZ","gilbert",2020-08-16,2
"AZ","gilbert",2020-08-17,3
"AZ","glendale",2020-06-23,1
"AZ","glendale",2020-06-25,1
"AZ","glendale",2020-06-26,2
"AZ","glendale",2020-06-27,2
"AZ","glendale",2020-06-30,2
"AZ","glendale",2020-07-01,2
"AZ","glendale",2020-07-02,3
"AZ","glendale",2020-07-03,1
"AZ","glendale",2020-07-04,1
"AZ","glendale",2020-07-06,3
"AZ","glendale",2020-07-07,5
"AZ","glendale",2020-07-08,4
"AZ","glendale",2020-07-09,5
"AZ","glendale",2020-07-10,3
"AZ","glendale",2020-07-11,2
"AZ","glendale",2020-07-13,3
"AZ","glendale",2020-07-14,2
"AZ","glendale",2020-07-15,1
"AZ","glendale",2020-07-16,3
"AZ","glendale",2020-07-17,4
"AZ","glendale",2020-07-18,2
"AZ","glendale",2020-07-19,1
"AZ","glendale",2020-07-21,7
"AZ","glendale",2020-07-22,5
"AZ","glendale",2020-07-23,3
"AZ","glendale",2020-07-24,3
"AZ","glendale",2020-07-25,2
"AZ","glendale",2020-07-26,1
"AZ","glendale",2020-07-27,5
"AZ","glendale",2020-07-28,5
"AZ","glendale",2020-07-29,5
"AZ","glendale",2020-07-30,3
"AZ","glendale",2020-07-31,7
"AZ","glendale",2020-08-01,3
"AZ","glendale",2020-08-05,2
"AZ","glendale",2020-08-06,3
"AZ","glendale",2020-08-07,3
"AZ","glendale",2020-08-08,2
"AZ","glendale",2020-08-10,1
"AZ","glendale",2020-08-12,2
"AZ","glendale",2020-08-13,2
"AZ","glendale",2020-08-14,4
"AZ","glendale",2020-08-16,2
"AZ","glendale",2020-08-17,2
"AZ","mesa",2020-06-23,1
"AZ","mesa",2020-06-25,1
"AZ","mesa",2020-06-26,3
"AZ","mesa",2020-06-27,3
"AZ","mesa",2020-06-30,1
"AZ","mesa",2020-07-01,3
"AZ","mesa",2020-07-02,1
"AZ","mesa",2020-07-03,1
"AZ","mesa",2020-07-04,1
"AZ","mesa",2020-07-06,2
"AZ","mesa",2020-07-07,5
"AZ","mesa",2020-07-08,5
"AZ","mesa",2020-07-09,5
"AZ","mesa",2020-07-10,3
"AZ","mesa",2020-07-11,2
"AZ","mesa",2020-07-13,3
"AZ","mesa",2020-07-14,3
"AZ","mesa",2020-07-15,2
"AZ","mesa",2020-07-16,3
"AZ","mesa",2020-07-17,4
"AZ","mesa",2020-07-18,2
"AZ","mesa",2020-07-19,1
"AZ","mesa",2020-07-20,1
"AZ","mesa",2020-07-21,3
"AZ","mesa",2020-07-22,6
"AZ","mesa",2020-07-23,3
"AZ","mesa",2020-07-24,3
"AZ","mesa",2020-07-25,2
"AZ","mesa",2020-07-26,1
"AZ","mesa",2020-07-27,6
"AZ","mesa",2020-07-28,7
"AZ","mesa",2020-07-29,5
"AZ","mesa",2020-07-30,5
"AZ","mesa",2020-07-31,7
"AZ","mesa",2020-08-01,3
"AZ","mesa",2020-08-03,1
"AZ","mesa",2020-08-04,2
"AZ","mesa",2020-08-05,2
"AZ","mesa",2020-08-06,3
"AZ","mesa",2020-08-07,6
"AZ","mesa",2020-08-08,2
"AZ","mesa",2020-08-10,1
"AZ","mesa",2020-08-11,1
"AZ","mesa",2020-08-12,1
"AZ","mesa",2020-08-13,2
"AZ","mesa",2020-08-14,3
"AZ","mesa",2020-08-15,1
"AZ","mesa",2020-08-16,3
"AZ","mesa",2020-08-17,3
"AZ","peoria",2020-06-22,1
"AZ","peoria",2020-06-23,2
"AZ","peoria",2020-06-25,1
"AZ","peoria",2020-06-26,2
"AZ","peoria",2020-06-27,1
"AZ","peoria",2020-06-30,1
"AZ","peoria",2020-07-01,3
"AZ","peoria",2020-07-02,1
"AZ","peoria",2020-07-03,1
"AZ","peoria",2020-07-04,1
"AZ","peoria",2020-07-06,1
"AZ","peoria",2020-07-07,3
"AZ","peoria",2020-07-08,4
"AZ","peoria",2020-07-09,4
"AZ","peoria",2020-07-10,1
"AZ","peoria",2020-07-11,2
"AZ","peoria",2020-07-13,3
"AZ","peoria",2020-07-14,4
"AZ","peoria",2020-07-16,4
"AZ","peoria",2020-07-17,4
"AZ","peoria",2020-07-18,2
"AZ","peoria",2020-07-19,1
"AZ","peoria",2020-07-20,1
"AZ","peoria",2020-07-21,8
"AZ","peoria",2020-07-22,5
"AZ","peoria",2020-07-23,3
"AZ","peoria",2020-07-24,1
"AZ","peoria",2020-07-25,1
"AZ","peoria",2020-07-27,6
"AZ","peoria",2020-07-28,7
"AZ","peoria",2020-07-29,4
"AZ","peoria",2020-07-30,5
"AZ","peoria",2020-07-31,8
"AZ","peoria",2020-08-01,2
"AZ","peoria",2020-08-05,2
"AZ","peoria",2020-08-06,3
"AZ","peoria",2020-08-07,6
"AZ","peoria",2020-08-08,2
"AZ","peoria",2020-08-10,1
"AZ","peoria",2020-08-11,1
"AZ","peoria",2020-08-12,1
"AZ","peoria",2020-08-13,2
"AZ","peoria",2020-08-14,2
"AZ","peoria",2020-08-16,3
"AZ","peoria",2020-08-17,2
"AZ","phoenix",2020-06-22,1
"AZ","phoenix",2020-06-23,3
"AZ","phoenix",2020-06-25,1
"AZ","phoenix",2020-06-26,1
"AZ","phoenix",2020-06-30,2
"AZ","phoenix",2020-07-01,3
"AZ","phoenix",2020-07-02,1
"AZ","phoenix",2020-07-03,1
"AZ","phoenix",2020-07-04,1
"AZ","phoenix",2020-07-06,3
"AZ","phoenix",2020-07-07,5
"AZ","phoenix",2020-07-08,4
"AZ","phoenix",2020-07-09,5
"AZ","phoenix",2020-07-10,2
"AZ","phoenix",2020-07-11,2
"AZ","phoenix",2020-07-13,2
"AZ","phoenix",2020-07-14,2
"AZ","phoenix",2020-07-15,1
"AZ","phoenix",2020-07-16,4
"AZ","phoenix",2020-07-17,4
"AZ","phoenix",2020-07-18,3
"AZ","phoenix",2020-07-19,1
"AZ","phoenix",2020-07-20,2
"AZ","phoenix",2020-07-21,5
"AZ","phoenix",2020-07-22,4
"AZ","phoenix",2020-07-23,5
"AZ","phoenix",2020-07-24,3
"AZ","phoenix",2020-07-25,2
"AZ","phoenix",2020-07-26,1
"AZ","phoenix",2020-07-27,7
"AZ","phoenix",2020-07-28,4
"AZ","phoenix",2020-07-29,6
"AZ","phoenix",2020-07-30,9
"AZ","phoenix",2020-07-31,7
"AZ","phoenix",2020-08-01,1
"AZ","phoenix",2020-08-03,1
"AZ","phoenix",2020-08-04,2
"AZ","phoenix",2020-08-05,3
"AZ","phoenix",2020-08-06,4
"AZ","phoenix",2020-08-07,6
"AZ","phoenix",2020-08-08,2
"AZ","phoenix",2020-08-10,1
